num_departement,commune,siret,denomination,nom,enseigne,adresse,date_creation,tranche_eff
44,BERNERIE EN RETZ (LA),85155384200010,LES ARTISANS DU CHATEAU,LES ARTISANS DU CHATEAU,,Rue de la Noue Fleurie 44760 La Bernerie-en-Retz,2019,
44,PANNECE,85219175800014,PIERRE,PIERRE,LE DONNEAU,110 Place de l'Eglise 44440 Pannecé,2019,
44,NANTES,84853689200013,CHA SERVICES,CHA SERVICES,,22 Mail Pablo Picasso 44000 Nantes,2019,
44,CELLIER (LE),79008892600015,SEGAUMILOD,SEGAUMILOD,,51 Allée de la Coulée 44850 Le Cellier,2012,
44,NANTES,82104007800023,JOLLY ROGERS,JOLLY ROGERS,LA DROLE DE BARGE,Quai Malakoff 44000 Nantes,2016,
44,CHAPELLE SUR ERDRE (LA),89080238200014,WEST EVENTS BREST,WEST EVENTS BREST,,30 Rue de l'Europe 44240 La Chapelle-sur-Erdre,2020,
44,NANTES,88155682300014,HOTEL SAINT YVES NANTES,HOTEL SAINT YVES NANTES,,154 Rue Général Buat 44000 Nantes,2020,
44,NANTES,87793471100012,CORREA LB,CORREA LB,ARVORE SENS,19 Quai de la Fosse 44000 Nantes,2019,
44,CHAPELLE SUR ERDRE (LA),87795335600012,WEST EVENTS CHALIFERT,WEST EVENTS CHALIFERT,,30 Rue de l'Europe 44240 La Chapelle-sur-Erdre,2019,
44,SORINIERES (LES),88415151500027,AKENA GESTION,AKENA GESTION,,Route de Villeneuve 44840 Les Sorinières,2020,
44,CROISIC (LE),88514319800012,NACALYS,NACALYS,AU FIN GOURMET,1 Rue du Pilori 44490 Le Croisic,2020,
44,MONTAGNE (LA),88936653000018,SAS LA GUERIVIERE,SAS LA GUERIVIERE,,8 Avenue de la Libération 44620 La Montagne,2020,
44,NANTES,75297962500015,BOURON,BOURON,,Rue de Coulmiers 44000 Nantes,2012,
44,ANCENIS,81024258600016,MAUCOURT*MICHEL GHISLAIN/,MONSIEUR MICHEL MAUCOURT,,51 Ruelle des 3 Marchands 44150 Ancenis-Saint-Géréon,2015,
44,THOUARE SUR LOIRE,81263336000027,SOCIETE DE GESTION DE LA RESIDENCE DE PORNICHET,SOCIETE DE GESTION DE LA RESIDENCE DE PORNICHET,,26 Rue du Moulin des Chalonges 44470 Thouaré-sur-Loire,2015,
44,SAINT PERE EN RETZ,80346536800014,GUCHET*OLIVIER/,MONSIEUR OLIVIER GUCHET,,2 La Missaudais 44320 Saint-Père-en-Retz,2014,
44,SAINT NAZAIRE,80429101100026,VALKYRIE,VALKYRIE,,45 Rue Jean Jaurès 44600 Saint-Nazaire,2014,
44,BATZ SUR MER,82516777800026,LA GEDE,LA GEDE,,60 Rue de Ker d'Abas 44740 Batz-sur-Mer,2017,
44,SAINTE LUCE SUR LOIRE,82902626900011,MALIROOM,MALIROOM,LOVE ROOM 44,Route de la Haie 44980 Sainte-Luce-sur-Loire,2017,
44,NANTES,81972334700012,FD HOME,FD HOME,,13 Avenue de la Pajaudière 44000 Nantes,2016,
44,CHAPELLE SUR ERDRE (LA),83309954200015,FERRAND*DELYE/NICOLE/,MADAME NICOLE DELYE,,34 Rue de la Rivière 44240 La Chapelle-sur-Erdre,2016,
44,NANTES,84458406000017,GNAOUI*SAIDI/FATOUM/,MADAME FATOUM SAIDI,LE MONDIAL,13 Allée Commandant Charcot 44000 Nantes,2017,
44,BAULE ESCOUBLAC (LA),85291870500017,L'ARAUCARIA,L ARAUCARIA,,15 Esplanade Benoît 44500 La Baule-Escoublac,2019,
44,PORNICHET,85316187500010,AMELMA,AMELMA,NORMANDY HOTEL,120 Avenue de Mazy 44380 Pornichet,2019,
44,NANTES,83460769900016,XRIS,XRIS,XRIS,1 Rue du Guesclin 44000 Nantes,2018,
44,NANTES,87999369900013,SAS NANTES CHEMIN ROUGE,SAS NANTES CHEMIN ROUGE,,23 Rue du Chemin Rouge 44300 Nantes,2020,
44,PORNIC,88125099700015,L'INSTANT PRESENT,L INSTANT PRESENT,,14 Rue du Plessis Allais 44210 Pornic,2020,
44,NANTES,88363715900012,BOUTIQUE HOTEL NOVELLA,BOUTIQUE HOTEL NOVELLA,,1 Quai de la Jonelière 44300 Nantes,2020,
44,POULIGUEN (LE),88375095200011,KER MAX,KER MAX,LE MONDES,13 Rue du Centre 44510 Le Pouliguen,2020,
44,NANTES,33496379000020,SIGEST 1,SIGEST 1,IBIS NANTES CENTRE GARE SUD,3 Allée Baco 44000 Nantes,1986,NN
44,NANTES,41158930200024,SARL BANANTES,SARL BANANTES,QUICK PALACE,6 Rue du Chemin Rouge 44300 Nantes,1997,NN
44,SAINT ANDRE DES EAUX,41771634700014,SARL CYNTHIA,SARL CYNTHIA,,Le Golf de Saint Denac 44117 Saint-André-des-Eaux,1998,NN
44,ORVAULT,40349052700039,MATOUBA,MATOUBA,,38 Rue Jules Verne 44700 Orvault,1995,NN
44,PORNICHET,41186385500036,SUD BRETAGNE,SUD BRETAGNE,,17 bis Avenue de Prieux 44380 Pornichet,1997,NN
44,SAINT ANDRE DES EAUX,41457570400021,SARL BOUILLON,SARL BOUILLON,,Le Golf de Saint Denac 44117 Saint-André-des-Eaux,1997,NN
44,NANTES,40436257600211,RESIDENCES SERVICES GESTION,RESIDENCES SERVICES GESTION,,4 Rue Émile Péhant 44000 Nantes,1996,NN
44,NANTES,40436257600310,RESIDENCES SERVICES GESTION,RESIDENCES SERVICES GESTION,,7 Chaussée de la Madeleine 44000 Nantes,1996,NN
44,NANTES,40436257600351,RESIDENCES SERVICES GESTION,RESIDENCES SERVICES GESTION,,41 Boulevard Albert Einstein 44300 Nantes,1996,NN
44,NANTES,40436257600435,RESIDENCES SERVICES GESTION,RESIDENCES SERVICES GESTION,,26 Rue du Champ de Tir 44300 Nantes,1996,
44,SAINTE LUCE SUR LOIRE,48041657700066,EUROPEENNE RESIDENCES SERVICES,EUROPEENNE RESIDENCES SERVICES,,13 Rue Marcel Dassault 44980 Sainte-Luce-sur-Loire,2005,NN
44,SAINT ANDRE DES EAUX,40316849500022,LF INVEST,LF INVEST,,Le Petit Brangouré - St-denac 44117 Saint-André-des-Eaux,1995,NN
44,SAINT ANDRE DES EAUX,38396505000024,SOC SERAQUI,SOC SERAQUI,,Le Golf de Saint Denac 44117 Saint-André-des-Eaux,1991,NN
44,SAINT ANDRE DES EAUX,38501856900025,SOCIETE VALINVEST,SOCIETE VALINVEST,,Route de Saint-denac 44117 Saint-André-des-Eaux,1992,NN
44,SAINT ANDRE DES EAUX,38237154000024,SOCIETE DEMARY,SOCIETE DEMARY,,Route de Saint-denac 44117 Saint-André-des-Eaux,1991,NN
44,PORNICHET,35318983000063,SOC DEVELOPPEMENT RESTAURATION,SOC DEVELOPPEMENT RESTAURATION,HOTEL KER JULIETTE,2 Avenue des Bleuets 44380 Pornichet,1990,NN
44,SAINT ANDRE DES EAUX,35261097600032,BAUCHART*JOEL YVES/,MONSIEUR JOEL BAUCHART,,Le Golf de Saint Denac 44117 Saint-André-des-Eaux,1989,NN
44,NANTES,30239426700140,SOCIETE D ETUDE ET DE PROMOTION HOTELIERE INTERNATIONALE,SOCIETE D ETUDE ET DE PROMOTION HOTELIERE INTERNATIONALE,IBIS,19 Rue Jean Jaurès 44000 Nantes,1975,NN
44,NANTES,52491948700016,SARL HB + NANTES,SARL HB NANTES,RESIDENCE QUALITY HOTEL ET SUITES,27 Rue du Chemin Rouge 44300 Nantes,2010,NN
44,BAULE ESCOUBLAC (LA),52972282900031,OTELISSIM,OTELISSIM,LE MARINI,22 Avenue Georges Clémenceau 44500 La Baule-Escoublac,2011,NN
44,BAULE ESCOUBLAC (LA),52972282900049,OTELISSIM,OTELISSIM,LA PALMERAIE,7 Avenue des Cormorans 44500 La Baule-Escoublac,2011,NN
